Dissect Code,AssmtCode_1,Year,SiteCode,SiteYear,NUMDISSECTED PER HOST PER SITE ASS.,HOSTSPECIES,SITE VISIT,SVL,STAGE,MALF,SEX,DISSECTED,ALARIA,THICKIE,CLINO,ECHINO,FIB,GLOB,RIB,MANO,HAEMATO,HALIPEGUS,OSWALDO,OPALPREZ2,NYCTOPREZ2,TRITRICHPREZ2,GORGOD,NEMATODE,UNKN,LARVTREMRICH,LARVTREMTOT,BDPOS,BDZE,RVPOS,RVLOAD
5CN1_20130812_TATO_015,5CN1_20130812,2013,5CN1,5CN1_2013,15,TATO,2,25.07,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN2_20130812_TAGR_003,5CN2_20130812,2013,5CN2,5CN2_2013,15,TAGR,2,12.55,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0026485349
5CN2_20130812_TAGR_004,5CN2_20130812,2013,5CN2,5CN2_2013,15,TAGR,2,14.33,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0253190035
5CN2_20130812_TAGR_005,5CN2_20130812,2013,5CN2,5CN2_2013,15,TAGR,2,14.17,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0020735535
5CN2_20130812_TAGR_007,5CN2_20130812,2013,5CN2,5CN2_2013,15,TAGR,2,15.42,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0029856237
5CN2_20130812_TAGR_008,5CN2_20130812,2013,5CN2,5CN2_2013,15,TAGR,2,14.32,Larva,FALSE,U,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0.003282473
5CN2_20130812_TAGR_009,5CN2_20130812,2013,5CN2,5CN2_2013,15,TAGR,2,13.94,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0048102102
5CN2_20130812_TAGR_010,5CN2_20130812,2013,5CN2,5CN2_2013,15,TAGR,2,14.4,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003391405
5CN2_20130812_TAGR_011,5CN2_20130812,2013,5CN2,5CN2_2013,15,TAGR,2,14.21,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0018885824
5CN2_20130812_TAGR_013,5CN2_20130812,2013,5CN2,5CN2_2013,15,TAGR,2,13.98, ,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0204188968
5CN2_20130812_TAGR_014,5CN2_20130812,2013,5CN2,5CN2_2013,15,TAGR,2,15.71,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0002220599
5CN2_20130812_TATO_004,5CN2_20130812,2013,5CN2,5CN2_2013,15,TATO,2,17,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.3930416028,1,0.002094616
5CN2_20130812_TATO_005,5CN2_20130812,2013,5CN2,5CN2_2013,15,TATO,2,15.35,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0180138146
5CN2_20130812_TATO_008,5CN2_20130812,2013,5CN2,5CN2_2013,15,TATO,2,16.64,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
5CN2_20130812_TATO_009,5CN2_20130812,2013,5CN2,5CN2_2013,15,TATO,2,18.35,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0089362439
5CN2_20130812_TATO_010,5CN2_20130812,2013,5CN2,5CN2_2013,15,TATO,2,17.22,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0027695758
5CN2_20130812_TATO_012,5CN2_20130812,2013,5CN2,5CN2_2013,15,TATO,2,18.24,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0251483055
5CN2_20130812_TATO_013,5CN2_20130812,2013,5CN2,5CN2_2013,15,TATO,2,16.98, ,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN2_20130812_TATO_014,5CN2_20130812,2013,5CN2,5CN2_2013,15,TATO,2,16.97,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6239279846
5CN2_20130812_TATO_015,5CN2_20130812,2013,5CN2,5CN2_2013,15,TATO,2,15.68,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7550818324
5CN3_20130812_TAGR_001,5CN3_20130812,2013,5CN3,5CN3_2013,1,TAGR,2,16.67,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0651091298
5CN4_20130812_PSRE_001,5CN4_20130812,2013,5CN4,5CN4_2013,15,PSRE,2,19.47,META,FALSE,F,1,0,0,0,119,0,0,0,0,0,0,0,1,1,0,0,0,0,1,119,0,0,0,0
5CN4_20130812_PSRE_002,5CN4_20130812,2013,5CN4,5CN4_2013,15,PSRE,2,20.27,META,FALSE,F,1,0,0,0,50,0,0,0,0,0,0,0,1,0,0,0,0,0,1,50,0,0,0,0
5CN4_20130812_PSRE_007,5CN4_20130812,2013,5CN4,5CN4_2013,15,PSRE,2,19.04,META,FALSE,F,1,0,0,0,128,0,0,0,0,0,0,0,1,1,0,0,0,0,1,128,0,0,0,0
5CN4_20130812_PSRE_008,5CN4_20130812,2013,5CN4,5CN4_2013,15,PSRE,2,17.87,META,FALSE,F,1,0,0,0,1467,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1467,0,0,0,0
5CN4_20130812_PSRE_009,5CN4_20130812,2013,5CN4,5CN4_2013,15,PSRE,2,16.94,META,FALSE,M,1,0,0,0,608,0,0,0,0,0,0,0,1,1,0,0,0,0,1,608,0,0,0,0
5CN4_20130812_PSRE_010,5CN4_20130812,2013,5CN4,5CN4_2013,15,PSRE,2,18.43,META,FALSE,M,1,0,0,0,312,0,0,0,0,0,0,0,1,1,0,0,0,0,1,312,0,0,0,0
5CN4_20130812_PSRE_011,5CN4_20130812,2013,5CN4,5CN4_2013,15,PSRE,2,18.15,META,FALSE,M,1,0,0,0,165,0,0,0,0,0,0,0,1,1,0,0,0,0,1,165,0,0,0,0
5CN4_20130812_PSRE_005,5CN4_20130812,2013,5CN4,5CN4_2013,15,PSRE,2,18.21,Larva,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN4_20130812_PSRE_012,5CN4_20130812,2013,5CN4,5CN4_2013,15,PSRE,2,18.23,META,FALSE,U,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5CN4_20130812_PSRE_015,5CN4_20130812,2013,5CN4,5CN4_2013,15,PSRE,2,14.51,META,FALSE,F,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0
BARN_20130514_BUBO_001,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,19.51,META,FALSE,M,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,NA,NA
BARN_20130514_BUBO_003,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,20.88,Larva,FALSE,M,1,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0
BARN_20130514_BUBO_004,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,19.85,META,FALSE,F,1,0,0,0,6,0,0,8,0,0,0,0,1,0,0,0,0,0,2,14,0,0,0,0
BARN_20130514_BUBO_005,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,20.96,META,FALSE,F,1,0,0,0,6,0,0,2,0,0,0,0,1,1,0,0,0,0,2,8,0,0,0,0
BARN_20130514_BUBO_006,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,21.06,META,FALSE,M,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0
BARN_20130514_BUBO_007,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,19.94,META,FALSE,F,1,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,17,0,0,0,0
BARN_20130514_BUBO_008,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,18.4,META,FALSE,M,1,0,0,0,6,0,0,3,0,0,0,0,1,1,0,0,0,0,2,9,0,0,0,0
BARN_20130514_BUBO_009,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,22.26,META,FALSE,F,1,0,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,2,4,0,0,0,0
BARN_20130514_BUBO_011,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,20.23,META,FALSE,F,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
BARN_20130514_BUBO_012,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,18.25,META,FALSE,F,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0
BARN_20130514_BUBO_013,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,21.1,META,FALSE,M,1,0,0,0,13,0,0,2,2,0,0,0,1,0,0,0,0,0,3,17,0,0,0,0
BARN_20130514_BUBO_014,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,19.76,META,FALSE,F,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0
BARN_20130514_BUBO_015,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,20.05,META,FALSE,M,1,0,0,0,5,0,0,2,0,0,0,0,1,1,0,0,0,0,2,7,0,0,0,0
BARN_20130701_BUBO_001,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,23.2,META,FALSE,F,1,0,0,1,7,0,0,0,0,0,0,0,1,0,1,0,0,0,2,8,0,0,0,0
BARN_20130701_BUBO_003,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,18.72,META,FALSE,M,1,0,0,0,9,0,0,0,0,0,0,0,1,1,1,0,0,0,1,9,0,0,0,0
BARN_20130701_BUBO_004,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,23.29,META,FALSE,M,1,3,0,0,21,0,0,4,0,0,0,0,1,1,0,0,0,0,3,28,0,0,0,0
BARN_20130701_BUBO_005,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,21.5,META,FALSE,M,1,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,1,6,0,0,0,0
BARN_20130701_BUBO_007,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,25.05,META,FALSE,M,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
BARN_20130701_BUBO_008,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,21.32,META,FALSE,M,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0
BARN_20130701_BUBO_009,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,22.38,META,FALSE,F,1,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,0,0,0,0
BARN_20130701_BUBO_010,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,21.22,META,FALSE,F,1,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9,0,0,0,0
BARN_20130701_BUBO_012,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,22.26,META,FALSE,F,1,22,0,1,22,0,0,0,0,0,0,0,1,1,1,0,0,0,3,45,0,0,0,0
BARN_20130514_BUBO_002,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,22.21,META,FALSE,F,1,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
BARN_20130514_BUBO_010,BARN_20130514,2013,BARN,BARN_2013,15,BUBO,1,18.45,META,FALSE,F,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
BARN_20130701_BUBO_002,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,24.11,META,FALSE,F,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
BARN_20130701_BUBO_006,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,23.96,META,FALSE,F,1,13,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,0,0,0,0
BARN_20130701_BUBO_011,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,22.32,META,FALSE,M,1,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
BARN_20130701_BUBO_013,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,22.21,META,TRUE,M,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0
BARN_20130701_BUBO_014,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,18.49,META,FALSE,M,1,8,0,0,104,0,0,1,0,0,0,0,0,0,0,0,0,0,3,113,0,0,0,0
BARN_20130701_BUBO_015,BARN_20130701,2013,BARN,BARN_2013,15,BUBO,2,19.99,META,FALSE,M,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
BARN_20130514_PSRE_001,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,19.68,META,FALSE,F,1,0,0,0,41,0,0,10,2,0,0,0,1,1,0,0,0,0,3,53,0,0,0,0
BARN_20130514_PSRE_002,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,17.98,META,FALSE,M,1,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12,0,0,0,0
BARN_20130514_PSRE_003,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,16.16,META,FALSE,M,1,0,0,0,12,0,0,2,0,0,0,0,1,0,0,0,0,0,2,14,0,0,0,0
BARN_20130514_PSRE_004,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,18.19,META,FALSE,F,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0
BARN_20130514_PSRE_005,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,16.54,META,FALSE,F,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
BARN_20130514_PSRE_008,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,15.68,META,FALSE,M,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,7,0,0,0,0
BARN_20130514_PSRE_010,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,16.46,META,FALSE,M,1,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,13,0,0,0,0
BARN_20130514_PSRE_011,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,17.02,META,FALSE,M,1,0,0,0,9,0,0,4,0,0,0,0,1,0,0,0,0,0,2,13,1,3592.7347310384,0,0
BARN_20130514_PSRE_013,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,15.67,META,FALSE,F,1,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11,0,0,0,0
BARN_20130514_PSRE_014,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,18.62,META,FALSE,F,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BARN_20130514_PSRE_015,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,18.4,META,FALSE,F,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BARN_20130701_PSRE_001,BARN_20130701,2013,BARN,BARN_2013,15,PSRE,2,16.52,META,FALSE,M,1,32,0,0,48,0,0,23,0,0,0,0,1,0,0,0,0,0,3,103,0,0,0,0
BARN_20130701_PSRE_002,BARN_20130701,2013,BARN,BARN_2013,15,PSRE,2,17.21,META,FALSE,M,1,37,0,0,47,0,0,14,0,0,0,0,1,0,0,0,0,0,3,98,0,0,0,0
BARN_20130701_PSRE_003,BARN_20130701,2013,BARN,BARN_2013,15,PSRE,2,17.9,META,TRUE,M,1,0,0,0,11,0,0,7,0,0,0,0,1,1,0,0,0,0,2,18,0,0,0,0
BARN_20130701_PSRE_006,BARN_20130701,2013,BARN,BARN_2013,15,PSRE,2,14.96,META,FALSE,M,1,43,0,0,138,0,0,14,0,0,0,0,1,0,0,0,0,0,3,195,0,0,0,0
BARN_20130701_PSRE_009,BARN_20130701,2013,BARN,BARN_2013,15,PSRE,2,19.03,META,FALSE,M,1,6,0,0,18,0,0,0,0,0,0,0,1,1,0,0,0,0,2,24,0,0,0,0
BARN_20130701_PSRE_012,BARN_20130701,2013,BARN,BARN_2013,15,PSRE,2,16.55,META,FALSE,M,1,12,0,0,34,0,0,30,0,0,0,0,1,1,0,0,0,0,3,76,0,0,0,0
BARN_20130514_PSRE_006,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,19.68,META,FALSE,M,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
BARN_20130514_PSRE_007,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,18,META,FALSE,F,1,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,2,9,0,0,0,0
BARN_20130514_PSRE_009,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,19.07,META,TRUE,M,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
BARN_20130514_PSRE_012,BARN_20130514,2013,BARN,BARN_2013,15,PSRE,1,18.17,META,FALSE,F,1,0,0,0,9,0,0,6,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
BARN_20130701_PSRE_004,BARN_20130701,2013,BARN,BARN_2013,15,PSRE,2,16.04,META,FALSE,M,1,27,0,0,8,0,0,71,0,0,0,0,0,0,0,0,0,0,3,106,0,0,0,0
BARN_20130701_PSRE_005,BARN_20130701,2013,BARN,BARN_2013,15,PSRE,2,17.62,META,FALSE,M,1,0,0,0,105,0,0,7,0,0,0,0,0,1,0,0,0,0,2,112,0,0,0,0
BARN_20130701_PSRE_007,BARN_20130701,2013,BARN,BARN_2013,15,PSRE,2,18.22,META,FALSE,F,1,10,0,0,38,0,0,4,0,0,0,0,0,0,0,0,0,0,3,52,0,0,0,0
BARN_20130701_PSRE_008,BARN_20130701,2013,BARN,BARN_2013,15,PSRE,2,16.43,META,FALSE,M,1,53,0,0,236,0,0,39,0,0,0,0,0,0,0,0,0,0,3,328,0,0,0,0
BARN_20130701_PSRE_011,BARN_20130701,2013,BARN,BARN_2013,15,PSRE,2,19.17,META,FALSE,F,1,49,0,0,73,0,0,25,0,0,0,0,0,0,0,0,0,0,3,147,0,0,0,0
BARN_20130701_PSRE_013,BARN_20130701,2013,BARN,BARN_2013,15,PSRE,2,17.55,META,FALSE,M,1,9,0,0,11,0,0,5,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
BARN_20130701_PSRE_014,BARN_20130701,2013,BARN,BARN_2013,15,PSRE,2,17.16,META,FALSE,M,1,2,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0
BARN_20130701_PSRE_015,BARN_20130701,2013,BARN,BARN_2013,15,PSRE,2,18.72,META,FALSE,M,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51,0,0,0,0
BARN_20130701_RACA_001,BARN_20130701,2013,BARN,BARN_2013,11,RACA,2,53.96,META,FALSE,F,1,0,0,0,124,0,0,5,0,52,0,0,0,0,0,0,0,0,2,129,0,0,0,0
